"Période";"Prix au détail du gaz hors TVA tranches I1 à I5";"Prix au détail du gaz hors TVA tranche I1";"Prix au détail du gaz hors TVA tranche I2";"Prix au détail du gaz hors TVA tranche I3";"Prix au détail du gaz hors TVA tranche I4";"Prix au détail du gaz hors TVA tranche I5";"Prix au détail du gaz hors TVA tranche I6";"Prix au détail du gaz hors TVA toutes tranches"
"PERIODE";"PX_GAZ_I_TRANCHES_I1_I5";"PX_GAZ_I_I1";"PX_GAZ_I_I2";"PX_GAZ_I_I3";"PX_GAZ_I_I4";"PX_GAZ_I_I5";"PX_GAZ_I_I6";"PX_GAZ_I_TTES_TRANCHES"
"2009-12";3.1781;4.3021;3.5097;3.1644;2.6787;2.4876;;
"2006-11";;;;;;;;
"2002-10";;;;;;;;
"2002-01";;;;;;;;
"1999-09";;;;;;;;
"1998-03";;;;;;;;
"1998-01";;;;;;;;
"1997-09";;;;;;;;
"1996-07";;;;;;;;
"1996-01";;;;;;;;
"1993-08";;;;;;;;
"1992-09";;;;;;;;
"1991-06";;;;;;;;
"1989-11";;;;;;;;
"1989-04";;;;;;;;
"1987-12";;;;;;;;
"1987-03";;;;;;;;
"1982-12";;;;;;;;
"1980-04";;;;;;;;
"1979-12";;;;;;;;
"1979-07";;;;;;;;
"2016-08";3.2525;4.9906;4.1384;3.7841;2.3971;2.2171;;
"2017-06";3.3879;4.608;3.8889;3.3195;2.4712;2.0676;1.8921;3.2722
"2013-02";4.2574;5.8853;4.9982;4.0468;3.1531;3.0585;;
"2010-10";3.508;4.7909;4.0472;3.4868;2.7692;2.5042;;
"2009-04";3.7245;4.4746;4.0321;3.6002;3.0632;2.671;;
"2007-12";3.1004;4.1234;3.4608;3.0625;2.7388;2.5678;;
"2007-01";3.0684;3.68;3.4352;2.9946;2.6408;2.4168;;
"2005-08";;;;;;;;
"2001-07";;;;;;;;
"2001-05";;;;;;;;
"2000-05";;;;;;;;
"1995-12";;;;;;;;
"1995-03";;;;;;;;
"1994-11";;;;;;;;
"1994-04";;;;;;;;
"1994-03";;;;;;;;
"1993-12";;;;;;;;
"1993-09";;;;;;;;
"1991-12";;;;;;;;
"1991-02";;;;;;;;
"1990-12";;;;;;;;
"1989-10";;;;;;;;
"1988-03";;;;;;;;
"1987-08";;;;;;;;
"1987-07";;;;;;;;
"1987-06";;;;;;;;
"1985-12";;;;;;;;
"1985-03";;;;;;;;
"1983-03";;;;;;;;
"1983-01";;;;;;;;
"1981-09";;;;;;;;
"1980-07";;;;;;;;
"2015-08";3.6396;5.4407;4.4225;3.6673;2.9119;2.4234;;
"2011-09";3.7389;5.4732;4.5571;3.7727;2.8576;2.9814;;
"2010-11";3.508;4.7909;4.0472;3.4868;2.7692;2.5042;;
"2010-03";3.3795;4.2412;3.6595;3.3072;2.7312;2.1993;;
"2007-11";3.1004;4.1234;3.4608;3.0625;2.7388;2.5678;;
"2005-09";;;;;;;;
"2001-11";;;;;;;;
"2000-06";;;;;;;;
"2000-03";;;;;;;;
"2000-01";;;;;;;;
"1999-11";;;;;;;;
"1998-11";;;;;;;;
"1996-05";;;;;;;;
"1993-05";;;;;;;;
"1990-11";;;;;;;;
"1990-04";;;;;;;;
"1988-12";;;;;;;;
"1988-09";;;;;;;;
"1987-11";;;;;;;;
"1986-01";;;;;;;;
"1985-07";;;;;;;;
"1981-08";;;;;;;;
"1979-10";;;;;;;;
"1979-02";;;;;;;;
"2017-03";3.3879;4.608;3.8889;3.3195;2.4712;2.0676;1.8921;3.2722
"2015-10";3.6396;5.4407;4.4225;3.6673;2.9119;2.4234;;
"2015-09";3.6396;5.4407;4.4225;3.6673;2.9119;2.4234;;
"2014-07";3.7927;6.1712;4.7371;3.7865;3.0608;2.6936;;
"2009-08";3.1781;4.3021;3.5097;3.1644;2.6787;2.4876;;
"2006-06";;;;;;;;
"2006-01";;;;;;;;
"2001-02";;;;;;;;
"2000-12";;;;;;;;
"2000-08";;;;;;;;
"1999-06";;;;;;;;
"1997-03";;;;;;;;
"1995-07";;;;;;;;
"1993-07";;;;;;;;
"1992-04";;;;;;;;
"1991-08";;;;;;;;
"1989-03";;;;;;;;
"1987-04";;;;;;;;
"1985-05";;;;;;;;
"1984-11";;;;;;;;
"1984-01";;;;;;;;
"1983-10";;;;;;;;
"1983-05";;;;;;;;
"1981-11";;;;;;;;
"1980-08";;;;;;;;
"1980-06";;;;;;;;
"2017-10";3.3442;5.0469;4.0808;3.4529;2.3616;2.0429;1.8845;3.1906
"2016-05";3.3218;4.7136;3.9616;3.3307;2.3944;1.7553;;
"2016-04";3.3218;4.7136;3.9616;3.3307;2.3944;1.7553;;
"2015-12";3.6396;5.4407;4.4225;3.6673;2.9119;2.4234;;
"2015-07";3.6396;5.4407;4.4225;3.6673;2.9119;2.4234;;
"2015-01";3.9187;5.572;4.4546;3.7717;3.037;2.5989;;
"2013-09";3.9929;6.4926;4.9107;3.8685;3.1714;2.9772;;
"2011-06";3.6991;4.704;4.2229;3.5833;2.7169;2.6464;;
"2011-02";3.6991;4.704;4.2229;3.5833;2.7169;2.6464;;
"2010-05";3.3795;4.2412;3.6595;3.3072;2.7312;2.1993;;
"2010-04";3.3795;4.2412;3.6595;3.3072;2.7312;2.1993;;
"2008-06";3.3923;3.9296;3.5979;3.3206;2.9611;2.9308;;
"2008-05";3.3923;3.9296;3.5979;3.3206;2.9611;2.9308;;
"2008-03";3.3923;3.9296;3.5979;3.3206;2.9611;2.9308;;
"2007-08";3.1004;4.1234;3.4608;3.0625;2.7388;2.5678;;
"2007-02";3.0684;3.68;3.4352;2.9946;2.6408;2.4168;;
"2005-10";;;;;;;;
"2005-06";;;;;;;;
"2004-10";;;;;;;;
"2002-08";;;;;;;;
"2002-06";;;;;;;;
"2001-03";;;;;;;;
"1997-10";;;;;;;;
"1994-10";;;;;;;;
"1994-05";;;;;;;;
"1993-01";;;;;;;;
"1990-03";;;;;;;;
"1990-01";;;;;;;;
"1989-05";;;;;;;;
"1986-04";;;;;;;;
"1985-11";;;;;;;;
"1983-04";;;;;;;;
"1982-08";;;;;;;;
"1982-02";;;;;;;;
"1981-12";;;;;;;;
"1979-11";;;;;;;;
"2017-05";3.3879;4.608;3.8889;3.3195;2.4712;2.0676;1.8921;3.2722
"2017-09";3.3442;5.0469;4.0808;3.4529;2.3616;2.0429;1.8845;3.1906
"2014-03";4.0814;5.5609;4.8804;3.8676;3.1375;2.914;;
"2011-12";3.7389;5.4732;4.5571;3.7727;2.8576;2.9814;;
"2011-05";3.6991;4.704;4.2229;3.5833;2.7169;2.6464;;
"2010-02";3.3795;4.2412;3.6595;3.3072;2.7312;2.1993;;
"2008-11";3.8282;4.5394;4.0989;3.904;3.5102;3.378;;
"2006-09";;;;;;;;
"2006-04";;;;;;;;
"2005-02";;;;;;;;
"2004-11";;;;;;;;
"2003-10";;;;;;;;
"2002-07";;;;;;;;
"2001-10";;;;;;;;
"2001-06";;;;;;;;
"1999-08";;;;;;;;
"1999-02";;;;;;;;
"1997-07";;;;;;;;
"1997-05";;;;;;;;
"1994-07";;;;;;;;
"1991-05";;;;;;;;
"1988-11";;;;;;;;
"1988-10";;;;;;;;
"1988-05";;;;;;;;
"1988-04";;;;;;;;
"1988-01";;;;;;;;
"1985-04";;;;;;;;
"1984-12";;;;;;;;
"1983-08";;;;;;;;
"1982-09";;;;;;;;
"1981-05";;;;;;;;
"2017-01";3.3879;4.608;3.8889;3.3195;2.4712;2.0676;1.8921;3.2722
"2016-06";3.3218;4.7136;3.9616;3.3307;2.3944;1.7553;;
"2015-11";3.6396;5.4407;4.4225;3.6673;2.9119;2.4234;;
"2013-04";4.2574;5.8853;4.9982;4.0468;3.1531;3.0585;;
