"Période";"1. Importations toutes énergies (en millions d'euros CAF)";"1.1 Importations de combustibles minéraux solides (en millions d'euros CAF)";"1.2 Importations de produits pétroliers (en millions d'euros CAF)";"1.2.1 Importations de pétrole brut (en millions d'euros CAF)";"1.2.2 Importations de produits pétroliers raffinés (en millions d'euros CAF)";"1.3 Importations de gaz (en millions d'euros CAF)";"1.4 Importations d'électricité (en millions d'euros CAF)";"2. Exportations toutes énergies (en millions d'euros FAB)";"2.1 Exportations de combustibles minéraux solides (en millions d'euros FAB)";"2.2 Exportations de produits pétroliers (en millions d'euros FAB)";"2.2.1 Exportations de pétrole brut (en millions d'euros FAB)";"2.2.2 Exportations de produits pétroliers raffinés (en millions d'euros FAB)";"2.3 Exportations de gaz (en millions d'euros FAB)";"2.4 Exportations d'électricité (en millions d'euros FAB)";"3. Facture énergétique totale (en millions d'euros CAF-FAB)";"3.1 Solde importateur (importations - exportations) de combustibles minéraux solides  (en millions d'euros CAF-FAB)";"3.2 Solde importateur (importations - exportations) de produits pétroliers (en millions d'euros CAF-FAB)";"3.2.1 Solde importateur (importations - exportations) de pétrole brut (en millions d'euros CAF-FAB)";"3.2.2 Solde importateur (importations - exportations) de produits pétroliers raffinés (en millions d'euros CAF-FAB)";"3.3 Solde importateur (importations - exportations) de gaz (en millions d'euros CAF-FAB)";"3.4 Solde importateur (importations - exportations) d'électricité (en millions d'euros CAF-FAB)";"3.5 Solde importateur (valeurs CAF - FAB) en biocarburants (en millions d'euros)";"3.6 Solde importateur (valeurs CAF - FAB) en bois-énergie (en millions d'euros)"
"PERIODE";"VIMP_ENER";"VIMP_CMS";"VIMP_PETRO";"VIMP_BRUT";"VIMP_RAFF";"VIMP_GAZ";"VIMP_ELE";"VEXP_ENER";"VEXP_CMS";"VEXP_PETRO";"VEXP_BRUT";"VEXP_RAFF";"VEXP_GAZ";"VEXP_ELE";"VSOLI_ENER";"VSOLI_CMS";"VSOLI_PETRO";"VSOLI_BRUT";"VSOLI_RAFF";"VSOLI_GAZ";"VSOLI_ELE";"VSOLI_BIOC";"VSOLI_BOIS"
"2019-08";4911.31;144.999;3788.518;1896.334;1892.184;790.383;28.191;1014.614;11.348;593.861;0.149;593.712;139.295;211.107;3896.696;133.652;3194.657;1896.185;1298.473;651.088;-182.916;92.502;7.713
"2019-06";4903.073;100.146;3840.739;1820.315;2020.425;768.274;9.107;1075.733;0.342;594.1;0.149;593.951;188.276;224.195;3827.339;99.803;3246.639;1820.166;1426.473;579.999;-215.088;113.037;2.949
"2018-02";4663.098;158.892;3302.209;1794.439;1507.77;1002.589;115.053;1275.877;0.367;759.448;0.106;759.342;236.585;243.352;3387.221;158.525;2542.76;1794.333;748.427;766.004;-128.299;48.998;-0.767
"2022-09";15759.913;240.437;5636.775;2908.417;2728.358;7293.249;2250.736;3000.974;1.755;962.476;0.938;961.538;1176.833;769.181;12758.939;238.682;4674.299;2907.479;1766.82;6116.416;1481.554;227.836;20.152
"2021-04";4195.178;111.479;2884.261;1146.687;1737.574;828.784;190.957;966.627;1.943;554.621;0.088;554.533;97.937;247.163;3228.551;109.536;2329.64;1146.599;1183.041;730.848;-56.206;107.79;6.945
"2020-12";2820.61;91.489;1977.981;652.817;1325.164;557.662;132.311;776.339;6.616;422.597;0.804;421.792;79.915;226.914;2044.271;84.873;1555.384;652.012;903.372;477.747;-94.604;14.249;6.621
"2018-05";5045.156;152.02;3850.69;1590.696;2259.995;941.46;13.237;1216.535;0.409;731.539;0.147;731.392;144.477;296.043;3828.621;151.611;3119.151;1590.549;1528.603;796.983;-282.806;44.775;-1.093
"2020-01";4559.969;63.618;3610.444;1249.451;2360.993;689.445;60.309;1055.428;0.511;566.526;34.245;532.282;175.975;224.572;3504.54;63.107;3043.917;1215.207;1828.711;513.469;-164.263;40.102;8.208
"2019-10";4865.945;156.67;3824.917;1767.919;2056.999;688.711;55.215;999.318;5.963;540.944;0.145;540.8;180.941;205.335;3866.627;150.708;3283.973;1767.774;1516.199;507.77;-150.12;62.478;11.817
"2018-08";5561.683;173.505;4160.32;2062.069;2098.251;1028.766;73.573;1338.965;0.376;907.283;0.125;907.158;62.557;316.422;4222.718;173.129;3253.037;2061.944;1191.093;966.21;-242.849;69.527;3.664
"2022-01";9165.218;366.499;4376.647;2104.409;2272.238;3234.422;925.692;2092.784;27.851;665.288;0.183;665.105;712.798;589.61;7072.434;338.648;3711.358;2104.226;1607.133;2521.624;336.082;155.145;9.577
"2021-12";9257.223;130.783;4265.923;1986.02;2279.903;3163.641;1400.055;2116.19;66.341;805.917;0.143;805.774;580.448;564.973;7141.034;64.442;3460.006;1985.877;1474.129;2583.193;835.082;190.096;8.215
"2022-03";12359.637;319.768;5971.062;2992.513;2978.549;4562.446;1163.064;2358.986;3.764;1023.246;0.266;1022.98;339.145;917.612;10000.651;316.004;4947.816;2992.246;1955.569;4223.301;245.452;258.862;9.217
"2021-03";4018.512;128.763;2696.587;1125.395;1571.192;946.648;118.79;973.665;8.485;559.74;0.089;559.651;55.84;278.004;3044.847;120.278;2136.846;1125.306;1011.541;890.808;-159.214;50.181;5.948
"2020-03";3282.87;72.248;2399.455;707.097;1692.358;695.543;23.554;721.49;0.149;376.086;0.056;376.03;128.317;172.804;2561.38;72.1;2023.369;707.041;1316.328;567.227;-149.251;41.416;6.519
"2018-12";4759.623;160.835;3432.915;1632.905;1800.01;1006.268;76.216;1563.03;0.213;942.405;0.132;942.273;203.012;346.806;3196.593;160.622;2490.51;1632.773;857.737;803.256;-270.59;10.201;2.593
"2018-01";5444.864;167.806;3989.252;2244.948;1744.304;1171.128;19.251;1382.244;0.374;807.45;0.147;807.303;235.947;279.146;4062.62;167.432;3181.802;2244.801;937.001;935.182;-259.895;37.999;0.1
"2020-11";2611.892;77.578;1811.47;939.597;871.873;562.021;61.881;785.116;0.764;467.899;0.061;467.838;34.026;245.176;1826.776;76.814;1343.571;939.535;404.035;527.995;-183.295;56.878;4.814
"2020-10";2724.823;47.843;2002.179;728.463;1273.717;478.94;75.689;617.297;1.434;367.061;0.07;366.991;31.835;173.535;2107.526;46.409;1635.119;728.393;906.726;447.105;-97.846;68.3;8.438
"2020-08";2783.941;24.514;2191.289;924.934;1266.355;394.711;83.549;615.522;0.767;326.972;0.057;326.915;103.186;137.148;2168.419;23.747;1864.317;924.878;939.44;291.525;-53.599;35.36;7.069
"2019-09";4064.588;132.773;3283.136;1463.19;1819.946;479.554;40.699;1194.477;6.59;783.367;0.141;783.225;136.645;208.643;2870.112;126.183;2499.769;1463.048;1036.721;342.909;-167.944;59.29;9.904
"2019-01";5593.381;119.596;4058.993;2227.816;1831.177;1139.31;177.047;1227.325;0.37;646.241;0.116;646.125;281.981;240.404;4366.056;119.226;3412.752;2227.701;1185.052;857.329;-63.356;32.485;7.621
"2018-04";4962.877;156.294;3769.375;1714.998;2054.378;878.564;23.403;1084.818;0.298;698.276;0.175;698.101;121.135;213.081;3878.059;155.996;3071.1;1714.823;1356.277;757.429;-189.678;82.793;0.42
"2021-10";7000.266;180.435;4140.989;1628.135;2512.854;2285.232;188.219;1952.671;6.939;704.994;2.389;702.605;296.71;882.044;5047.595;173.496;3435.995;1625.746;1810.249;1988.523;-693.825;133.942;9.464
"2020-05";2187.738;82.807;1473.461;550.36;923.101;577.295;5.156;492.872;0.088;219.126;0.051;219.075;112.004;113.459;1694.866;82.719;1254.335;550.309;704.026;465.291;-108.303;-4.099;4.922
"2020-02";3841.1;110.925;3145.901;1317.196;1828.705;470.527;12.83;921.236;2.005;531.415;0.099;531.316;152.168;192.503;2919.863;108.92;2614.486;1317.097;1297.389;318.359;-179.673;48.861;8.911
"2019-12";4605.384;108.255;3368.65;1492.271;1876.378;937.069;80.869;944.287;0.23;631.743;32.93;598.813;84.315;176.293;3661.097;108.026;2736.907;1459.342;1277.565;852.755;-95.425;49.343;9.491
"2019-11";4805.425;108.474;3663.144;1600.457;2062.687;779.48;141.458;941.222;0.264;621.865;0.147;621.719;83.644;179.617;3864.203;108.21;3041.279;1600.31;1440.969;695.836;-38.159;48.812;8.225
"2018-06";5493.539;190.036;4226.851;1993.505;2233.346;934.916;10.345;1219.024;0.375;701.694;0.137;701.557;141.073;326.821;4274.515;189.662;3525.157;1993.368;1531.789;793.843;-316.476;85.401;-3.071
"2022-08";15388.206;303.398;6621.806;3585.906;3035.9;5440.132;2695.369;3257.549;0.49;1079.625;0.222;1079.403;1206.38;835.523;12130.657;302.908;5542.181;3585.684;1956.497;4233.752;1859.846;175.01;16.96
"2021-11";8252.857;176.224;4470.176;1875.117;2595.06;2567.322;833.979;1792.022;0.356;717.902;0.487;717.415;438.887;559.545;6460.834;175.868;3752.274;1874.629;1877.645;2128.435;274.434;117.089;12.734
"2021-06";4426.575;119.917;3179.288;1375.403;1803.884;883.647;51.738;1158.512;0.667;480.65;0.45;480.201;41.532;553.93;3268.063;119.25;2698.637;1374.954;1323.684;842.114;-502.191;103.527;6.725
"2021-02";3559.682;85.764;2686.139;1005.9;1680.24;524.444;118.465;835.428;6.806;441.318;7.556;433.762;58.379;269.762;2724.254;78.958;2244.822;998.343;1246.478;466.065;-151.297;76.757;8.95
"2020-06";2626.565;45.857;2032.509;735.199;1297.31;437.765;35.205;529.088;1.273;299.075;0.115;298.96;79.354;112.7;2097.477;44.584;1733.434;735.084;998.35;358.411;-77.495;34.559;3.983
"2018-11";5273.884;157.046;3541.428;1824.003;1717.425;1319.651;159.801;1172.606;7.943;722.903;0.439;722.464;141.44;248.378;4101.279;149.103;2818.526;1823.564;994.961;1178.211;-88.577;40.042;3.974
